Tour_id,name,Tour_price,rating
T1,Caserta Royal Palace: Day Trip from Naples,$192.93,5.0
T2,Skip-the-lines Castel Sant'Angelo and Pope Paul III Apartments Tour,$275.15,5.0
T3,"Rome: Skip-the-Line Colosseum, Forum and Palatine Hill Tour",$137.48,4.5
T4,Venice Low Cost Private Gondola Ride,$196.49,1.0
T5,"Ostuni, Alberobello and Polignano a Mare Independent Tour. Departing from Lecce",$93.96,5.0
T6,Semi-Private Tour: Day Trip to Florence and Pisa from Rome with Lunch included,$32.79,4.5
T7,"Early Morning Colosseum Tour, Roman Forum and Palatine Hill",$88.24,5.0
T8,"Unique Private Rome by Night, Photo Tour and Workshop Under the Stars",$215.11,5.0
T9,1-Hour Florence Accademia Gallery and David Small Group Tour,$101.07,5.0
T10,Skip-the-Line Borghese Gallery & Gardens Private Guided Tour,$15.07,
T11,Private Tour: Lake Como From Milan with Private Driver and Private Boat,$44.42,
T12,Milan Segway Tour by Night,$225.16,5.0
T13,Full day tour to Pompeii and Mt Vesuvius from Sorrento,$194.81,3.5
T14,Complete Vatican Combo Tour with Sistine Chapel & Dome Climb,$170.16,4.5
T15,Medici Chapels Private Tour with a 5-Star Guide,$67.18,
T16,Finance and Nobility: Explore medieval Genoa on an audio walking tour,$298.70,
T17,Off the beaten path walk in Venice,$173.41,5.0
T18,Amalfi Coast and Pompeii for Families Private Tour,$279.46,5.0
T19,Colosseum Undergrounds Best View from Gladiator's Arena and Roman Forum Tour,$84.99,5.0
T20,"Vatican Gardens, Vatican Museums, Sistine Chapel Tour",$213.44,5.0
T21,Skip the line Vatican museums private tour,$265.61,5.0
T22,"Como, Lugano & Bellagio: Luxury Bus From Milan",$35.27,
T23,Vatican City Tour (Skip the Line),$76.16,
T24,Tui collection Secrets of Alberobello,$261.07,
T25,Spacca Pizza Giuded Tour + Pizza Dinner,$109.61,5.0
T26,"Early Morning Guided Tour of Vatican Museums, Sistine Chapel & St Peter's",$192.93,5.0
T27,Milan Half-Day Sightseeing Tour,$275.15,4.0
T28,Street Art Tour in a Colourful Roman Suburb,$137.48,
T29,Testaccio: Discover the hearth of Roman food tradition on an audio tour,$196.49,
T30,Florence and Siena Private Full-Day Tour from Rome,$93.96,
T31,Breakfast At The Vatican Early Access Sistine Chapel Museums & St Peter's,$32.79,
T32,Skip The Line: 2-hours Private Tour of The Doge's Palace and St Mark Basilic.,$88.24,
T33,The Instagrammable Places of Venice with a Local,$215.11,
T34,Modena Half Day Tour,$101.07,
T35,Mantua Private Walking Tour,$15.07,
T36,"Trevi Fountain, Spanish Steps, Navona Square Small Group Tour",$44.42,
T37,Private Pompeii and The Mount Vesuvius Tour,$225.16,
T38,"Turin private guided tour, the royal Castle, the Mole tower, the City of Magic",$194.81,
T39,San Gimignano and Volterra Private Day Tour with Wine Tasting & Lunch in Chianti,$170.16,
T40,Cinque Terre Full Day Tour from Montecatini,$67.18,
T41,Colosseum Arena Floor Tour with Roman Forum,$298.70,5.0
T42,Knowledge and Flavors,$173.41,5.0
T43,Day Trip to Rome: Highlights & Hidden Gems PRIVATE Tour,$279.46,5.0
T44,Private Tour - St. Angel's Castle,$84.99,5.0
T45,"Semi private excursion Pompeii, Positano and Sorrento",$213.44,5.0
T46,Heart of Rome Walking Tour with Gelato | Semi-Private and Private Options,$265.61,5.0
T47,12 People Guided Tour: Express Colosseum,$35.27,5.0
T48,Padre Pio San Giovanni Rotondo Private Tour from Rome,$76.16,5.0
T49,The Pearl of Sicily: Private Taormina Walking Tour,$261.07,5.0
T50,CSTRents - Taormina Segway PT Authorized Tour,$109.61,4.0
T51,MONREALE and SEGESTA Exclusive Tour - with Local Guide - starts from Palermo,$192.93,5.0
T52,Milan roof top view over Alps Cathedral and Baptistry,$275.15,5.0
T53,the splendour of Pompeii ruins with pompeii guide,$137.48,5.0
T54,Biennale Art Venice 2022 Private Guided Tour,$196.49,5.0
T55,4 days in Rome!,$93.96,5.0
T56,Semi private Vatican tour with optional S.P. Colosseum by arena entrance tour,$32.79,
T57,Private Guided Tour of the Colosseum with Roman Forum and Palatine Hill,$88.24,5.0
T58,Roman Catacombs and Ancient Appian Way Skip-The-Line Included Halfday from Rome,$215.11,
T59,GAY & LESBIAN Tour | Rome: the Colosseum under a gay light,$101.07,4.0
T60,Syracuse & Noto (departure from Catania area),$15.07,
T61,Archaeological tour of the Nuraghe Arrubiu in Orroli,$44.42,4.0
T62,Siracusa & Noto: small group tour from Taormina,$225.16,
T63,Cagliari Private Walking Tour,$194.81,
T64,The Best of Capri Walking Tour,$170.16,
T65,Tour Archaeological Park of Ancient Ostia in Mini Vintage Cabrio and fast lunch,$67.18,
T66,"Holiday Package Colosseum,Vatican, Roman forum, Fountain & Sightseeing Tour",$298.70,
T67,Private: Rome Walking Tour + dinner,$173.41,
T68,Life and death of the Roman city of Pompeii with a local guide. Private tour,$279.46,
T69,Panoramic Guided Historic Stroll in Torino for Small-Groups,$84.99,
T70,Private tour of Turin in the footsteps of the Romans,$213.44,
T71,Walking Tour of Valley of Temples,$265.61,
T72,Rome Jewish Ghetto and Great Synagogue Walking Tour,$35.27,
T73,Private Day Trip to Lake Garda (Sirmione with Castle) from Venice with a local,$76.16,
T74,Small-Group Bologna Tour of City Highlights with Top-Rated Local Guide,$261.07,
T75,Exclusive Private Colosseum Tour with Roman Forum and Palatine - Skip the line,$109.61,
T76,The Grandeur Of Como: Villa Olmo and Brunate Funicular,$192.93,
T77,Private Gondola Ride with Serenade in Venice,$275.15,3.0
T78,Amalfi Coast private tour from Sorrento Hotels with English speaking driver,$137.48,5.0
T79,2-Hour Small-Group Classic Rome Segway Tour,$196.49,5.0
T80,"HALF DAY Tour of Rome,",$93.96,5.0
T81,3-Hour Accademia Gallery Skip-the-Line & Florence Walking Tour,$32.79,5.0
T82,Spaccanapoli tour of the historical center of Naples,$88.24,5.0
T83,VIP Vatican in a Day Tour: Experience Art and History as Never Before,$215.11,5.0
T84,Tourist Guides Agrigento and Valley of the Temples,$101.07,5.0
T85,ASK your Turin friend anything you want!,$15.07,5.0
T86,"Saint Peter's Basilica, Vatican Museums and Sistine Chapel - Private Tour",$44.42,5.0
T87,Postojna Cave and Predjama Castle from Sistiana,$225.16,4.5
T88,"Tuscan countryside, Bocelli Wine Tour & Volterra from Rome",$194.81,5.0
T89,Half Day Private Vatican and Sistine Chapel Tour for Kids and Families,$170.16,5.0
T90,"Best Shore Excursion Etna, Taormina, Messina With Tasting Of Sicilian Products",$67.18,5.0
T91,"Colosseum, Forums and Palatine Hill Private Skip-the-line Tour",$298.70,5.0
T92,Private Vatican Highlights Tour - Skip The Line,$173.41,4.5
