Restaurant_id,Name,Email,Phone,Rating,Review_Count
R1,Tavernetta al Molo,tavernettaalmolo@libero.it,tel:+39 040 224275,4.5,2372
R2,"Osteria ""El Cassetin"" di Milos Marco",elcassetin@gmail.com,tel:+39 040 764322,4.5,114
R3,Marise Osteria Con Cucina,info@osteriamarise.it,tel:+39 040 322 9149,4.5,822
R4,Sbecolez Osteria con cucina,,tel:+39 040 064 4279,4.5,205
R5,Al Nuovo Antico Pavone,info@nuovoanticopavone.it,tel:+39 040 303899,4.5,436
R6,Hostaria Ai 3 Magnoni,info@ai3magnoni.com,tel:+39 040 910979,4.5,515
R7,Trattoria Al Sub,info@trattoriaalsub.com,tel:+39 040 203 9673,4.5,335
R8,TNT Pub,tntpub@gmail.com,tel:+39 040 661116,4.5,433
R9,Ristorante Indiano Krishna,singhbaldev1976@yahoo.com,tel:+39 040 760 5781,4.5,415
R10,Vecio Buffet Marascutti 1914,info@buffetmarascutti.it,tel:+39 040 633719,4.5,1333
R11,Osteria Bier Stube Trieste,buffetbierstube@virgilio.it,tel:+39 040 301277,4.5,813
R12,Baracca e Burattini,,tel:+39 347 159 5907,4.5,823
R13,Hops Beerstrò,info@hopsbeerstro.com,tel:+39 040 246 9336,4.5,226
R14,Hostaria G. Strehler,hostaria_strehler@libero.it,tel:+39 040 760 0177,4.5,386
R15,Osteria di Mare Alla Voliga,sburtavapor@yahoo.it,tel:+39 040 309606,4.5,1982
R16,Antica Hostaria da Libero,info@hostariadalibero.com,tel:+39 040 301113,4.5,479
R17,Ciò che piace RistorArte,ciochepiaceristorarte@gmail.com,tel:+39 328 812 6809,4.5,350
R18,Trattoria Mara,,tel:+39 345 859 8242,4.5,633
R19,Al Porton,,tel:+39 393 010 0604,4.5,254
R20,Buffet L'approdo,info@buffetapprodo.it,tel:+39 040 633466,4.5,284
R21,Mastro Birraio,stepancich.daniele@libero.it,tel:+39 349 835 6201,4.5,530
R22,Antica Trattoria Suban,anticatrattoria@suban.it,tel:+39 040 54368,4.5,1416
R23,Rustiko Traktoria,rustikotrieste@gmail.com,tel:+39 340 086 3472,4.5,344
R24,Trattoria Nerodiseppia,nerodiseppiatrieste@libero.it,tel:+39 040 301377,4.5,1565
R25,Adonis RistoBar,mailbox@adonisristobar.com,tel:+39 389 449 1919,4.5,213
R26,Osteria Ai Maestri,,tel:+39 040 636801,4.5,445
R27,Osteria Ai Maestri,,tel:+39 040 636801,4.5,445
R28,Osteria delle Streghe,,tel:+39 030 321215,4.0,642
R29,Pizzium - Brescia,info@pizzium.com,tel:+39 030 280 7783,4.5,449
R30,Trattoria Urbana Mangiafuoco,info@trattoriamangiafuoco.it,tel:+39 030 293029,4.0,471
R31,La Locanda del Tempo Perso,caccaroluca@gmail.com,tel:+39 030 394129,4.5,185
R32,Ristorante Nineteen - 19,info@nineteen19.it,tel:+39 030 375 5187,4.5,976
R33,Osteria del savio,info@osteriadelsavio.it,tel:+39 030 290 6511,4.5,569
R34,Nuovo Nando,,tel:+39 030 364288,4.0,474
R35,Scarabeo,info@ristorantescarabeo.it,tel:+39 333 924 1992,4.5,322
R36,Officina del Mare,info@officinadelmare.com,tel:+39 030 336 7056,4.5,514
R37,Ristorante Maiolica,ristorante.maiolica@gmail.com,tel:+39 030 358 0686,4.5,129
R38,Verderamen,info@verderamen.it,tel:+39 329 146 9051,4.5,154
R39,Ristorante Medea,info@ristorantemedea.it,tel:+39 030 523 4400,5.0,78
R30,La Torre Cucina Gourmet,alegenza10@gmail.com,tel:+39 338 341 7165,4.5,186
R41,Ristorante Castello Malvezzi,info@castellomalvezzi.com,tel:+39 030 200 4224,4.5,849
R42,Bier Stube da Mauro,stubecafe@live.it,tel:+39 030 362770,4.5,1207
R43,Ristorante Eden,edenristorante@alice.it,tel:+39 335 674 1762,4.5,215
R44,Corte del Mago,info@cortedelmago.it,tel:+39 030 231 1357,4.5,260
R45,Ristorante 19/60,latrattoria1960@yahoo.it,tel:+39 030 314620,4.5,555
R46,Creminati,info@creminati.it,tel:+39 030 301306,4.5,275
R47,La Vineria,info@lavineriabrescia.it,tel:+39 348 371 4234,4.5,631
R48,Il Lorenzaccio,info@illorenzaccio.com,tel:+39 030 220457,4.5,332
R49,Osteria Vecchio Botticino,OSTERIAVECCHIOBOTTICINO@GMAIL.COM,tel:+39 030 637 1830,4.5,295
R50,Regal Restaurant Brescia,singhsrestaurant@yahoo.it,tel:+39 030 200 8504,4.5,508
R51,La Bottega di Vittorio Ristorante in Salumeria,info@labottegadivittorio.com,tel:+39 030 201 0822,4.5,370
R52,Trattoria G.A. Porteri,info@trattoriaporteri.it,tel:+39 030 301833,4.5,1054
R53,I Du dela Contrada,Info@idudelacontrada.it,tel:+39 392 925 3416,4.5,1095
R54,I Du dela Contrada,Info@idudelacontrada.it,tel:+39 392 925 3416,4.5,1095
